CellType	AgeGroup	Percentage
ActFB	Age[20,60)	1001
apCAF	Age[20,60)	1287
CycFB	Age[20,60)	735
CytFB	Age[20,60)	4463
DerFB	Age[20,60)	111
DevFB	Age[20,60)	313
EpiFB	Age[20,60)	1836
FCC	Age[20,60)	6997
FCPC	Age[20,60)	3019
iCAF	Age[20,60)	13978
LipFB	Age[20,60)	6377
MetFB	Age[20,60)	2753
myoCAF	Age[20,60)	3644
PapFB	Age[20,60)	121
ProFB	Age[20,60)	2549
UniFB	Age[20,60)	21203
ActFB	Age[60,90)	968
apCAF	Age[60,90)	4356
CycFB	Age[60,90)	737
CytFB	Age[60,90)	3787
DerFB	Age[60,90)	35
DevFB	Age[60,90)	344
EpiFB	Age[60,90)	17
FCC	Age[60,90)	676
FCPC	Age[60,90)	821
iCAF	Age[60,90)	2691
LipFB	Age[60,90)	2136
MetFB	Age[60,90)	1111
myoCAF	Age[60,90)	2009
PapFB	Age[60,90)	35
ProFB	Age[60,90)	5650
UniFB	Age[60,90)	3427
ActFB	Fetal	1414
apCAF	Fetal	60
CycFB	Fetal	13123
CytFB	Fetal	0
DerFB	Fetal	43
DevFB	Fetal	100
EpiFB	Fetal	79
FCC	Fetal	56
FCPC	Fetal	892
iCAF	Fetal	757
LipFB	Fetal	0
MetFB	Fetal	0
myoCAF	Fetal	180
PapFB	Fetal	1
ProFB	Fetal	0
UniFB	Fetal	19
